id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,lot1_surface_carrez,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
2016-825339,2016-10-17,Vente,500.0,,,LES BRUYERES,B006,69250.0,69003,Albigny-sur-Saône,69,,,,1576.0,4.824363,45.861159
2016-825339,2016-10-17,Vente,500.0,,,LES BRUYERES,B006,69250.0,69003,Albigny-sur-Saône,69,,,,315.0,4.824164,45.86113
2016-825339,2016-10-17,Vente,500.0,,,BALAYE,B002,69250.0,69003,Albigny-sur-Saône,69,,,,3755.0,4.825291,45.861292
2016-825696,2016-11-07,Vente,125000.0,9.0,,AV HENRI BARBUSSE,0158,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.836055,45.862826
2016-825696,2016-11-07,Vente,125000.0,9.0,,AV HENRI BARBUSSE,0158,69250.0,69003,Albigny-sur-Saône,69,40.45,47.0,1.0,,4.836055,45.862826
2016-825774,2016-11-15,Vente en l'état futur d'achèvement,164000.0,3.0,,RUE VOIE NOUVELLE,0260,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.831207,45.859933
2016-825774,2016-11-15,Vente en l'état futur d'achèvement,164000.0,3.0,,RUE VOIE NOUVELLE,0260,69250.0,69003,Albigny-sur-Saône,69,,45.0,2.0,,4.831207,45.859933
2016-825814,2016-11-10,Vente,160000.0,,,LE BOURG,B005,69250.0,69003,Albigny-sur-Saône,69,,,,456.0,4.829068,45.865879
2016-825814,2016-11-10,Vente,160000.0,,,LE BOURG,B005,69250.0,69003,Albigny-sur-Saône,69,,,,55.0,4.829074,45.865992
2016-825814,2016-11-10,Vente,160000.0,,,LE BOURG,B005,69250.0,69003,Albigny-sur-Saône,69,,,,11.0,4.829057,45.865774
2016-825823,2016-11-10,Vente,8172.0,,,LES COMBES,B008,69250.0,69003,Albigny-sur-Saône,69,,,,1900.0,4.826878,45.855435
2016-825843,2016-10-11,Vente,345000.0,9.0,,MTE DU CHANOINE ROULLET,0050,69250.0,69003,Albigny-sur-Saône,69,,104.0,4.0,368.0,4.83038,45.865874
2016-825885,2016-11-10,Vente,197000.0,4.0,,MTE DU PERE CAMUS,0231,69250.0,69003,Albigny-sur-Saône,69,,65.0,3.0,404.0,4.82931,45.866071
2016-825885,2016-11-10,Vente,197000.0,4.0,,MTE DU PERE CAMUS,0231,69250.0,69003,Albigny-sur-Saône,69,,65.0,3.0,426.0,4.82931,45.866071
2016-825885,2016-11-10,Vente,197000.0,,,LE BOURG,B005,69250.0,69003,Albigny-sur-Saône,69,,,,52.0,4.829158,45.865901
2016-825888,2016-11-21,Vente en l'état futur d'achèvement,175500.0,3.0,,RUE VOIE NOUVELLE,0260,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.831207,45.859933
2016-825888,2016-11-21,Vente en l'état futur d'achèvement,175500.0,3.0,,RUE VOIE NOUVELLE,0260,69250.0,69003,Albigny-sur-Saône,69,,48.0,2.0,,4.831207,45.859933
2016-826220,2016-11-30,Vente en l'état futur d'achèvement,167500.0,3.0,,RUE VOIE NOUVELLE,0260,69250.0,69003,Albigny-sur-Saône,69,,,0.0,,4.831207,45.859933
